"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
231 614.5854692120716 887.0763549804688 28914.69338285266 9893297.909463257
232 614.5846280552619 887.0753173828125 28914.9487758994 9893297.935641805
233 614.5838264743853 887.0744018554688 28915.19238404626 9893297.968249068
234 614.5831418408923 887.0735473632813 28915.40743956836 9893298.017299186
235 614.5825277460343 887.07275390625 28915.60948706161 9893298.068701325
236 614.5820023021556 887.0720825195313 28915.78741208496 9893298.179209195
237 614.5815538296559 887.0714721679688 28915.94451660959 9893298.318108838
238 614.5811034567876 887.0708618164063 28916.10064576983 9893298.549348539
239 614.5806616927084 887.0702514648438 28916.2508887235 9893298.921658654
240 614.5802770528215 887.0697631835938 28916.39600815204 9893299.089128867
241 614.5797955711491 887.0691528320313 28916.5717367973 9893299.25645972
242 614.5793018348596 887.068603515625 28916.74954094911 9893299.475321999
243 614.5787391821098 887.0679321289063 28916.95018312226 9893299.692393063
244 614.5781061689956 887.0671997070313 28917.16926074497 9893299.874466991
245 614.5774143640107 887.0664672851563 28917.40351532667 9893300.044407714
246 614.5765400697458 887.0654907226563 28917.68324201181 9893300.253151566
247 614.5757192120046 887.0645751953125 28917.93757444098 9893300.411066795
248 614.5747693021107 887.0634765625 28918.2318465978 9893300.751446985
249 614.573783823663 887.0624389648438 28918.52638501107 9893301.229283601
250 614.5727360510741 887.061279296875 28918.8452260823 9893301.473493084
251 614.5719098363662 887.060302734375 28919.10762244122 9893301.612871656
252 614.5709756647353 887.0592041015625 28919.40391939522 9893301.91592508
253 614.5701480521348 887.0582275390625 28919.65403091604 9893302.071511786
254 614.569263950494 887.0571899414063 28919.91443171301 9893302.628089599
255 614.5682965811113 887.0560913085938 28920.18715554343 9893303.326338345
256 614.5674434820248 887.0551147460938 28920.43707906181 9893303.571391094
257 614.5664563265586 887.0540161132813 28920.73316721436 9893303.77817185
258 614.5653466431044 887.0527954101563 28921.05317419898 9893303.927512428
259 614.5639346127191 887.05126953125 28921.44122086319 9893304.340953454
260 614.5626165152278 887.0498046875 28921.80028322687 9893304.399892023
261 614.5611691571823 887.0482788085938 28922.21242106956 9893304.460782802
